Date,Revenue,Type
2023-03-11,3344.69,Actual
2023-09-09,37094.41,Actual
2022-08-15,35501.08,Actual
2021-01-23,8969.33,Actual
2020-12-24,35530.44,Actual
2019-03-13,420.76,Actual
2022-11-23,31588.07,Actual
2019-03-11,4419.87,Actual
2020-06-14,41494.09,Actual
2022-09-30,39717.64,Actual
2021-10-25,42842.38,Actual
2023-06-08,1036.8,Actual
2021-10-01,39274.36,Actual
2023-01-10,31690.81,Actual
2019-05-06,40712.36,Actual
2021-05-26,34269.7,Actual
2021-09-18,41271.24,Actual
2023-09-06,3896.21,Actual
2019-08-24,15902.47,Actual
2023-02-27,14846.9,Actual
2021-04-12,756.96,Actual
2020-12-11,9172.02,Actual
2021-06-03,34292.47,Actual
2021-09-26,35973.08,Actual
2022-10-01,44383.63,Actual
2021-12-19,4404.37,Actual
2019-12-31,34934.14,Actual
2021-11-05,2361.71,Actual
2019-01-26,24468.77,Actual
2021-12-25,16716.48,Actual
2022-05-13,6167.65,Actual
2022-09-27,44969.55,Actual
2020-05-28,38388.24,Actual
2023-01-13,4999.82,Actual
2019-03-28,32193.01,Actual
2022-10-10,33453.57,Actual
2019-12-19,41830.92,Actual
2023-12-28,31602.21,Actual
2023-04-21,7903.34,Actual
2020-05-19,23667.32,Actual
2022-04-17,39762.15,Actual
2019-05-17,10843.03,Actual
2022-12-14,35014.14,Actual
2019-08-18,49912.22,Actual
2020-10-31,11595.62,Actual
2019-07-05,40938.72,Actual
2021-06-10,43356.81,Actual
2023-05-29,37449.42,Actual
2022-12-09,378.65,Actual
2019-09-18,4596.06,Actual
2023-06-03,15945.03,Actual
2022-02-26,45056.72,Actual
2021-01-15,14187.47,Actual
2022-01-10,3119.4,Actual
2019-03-16,5552.12,Actual
2023-04-08,46089.88,Actual
2021-08-13,41202.61,Actual
2019-12-28,35606.55,Actual
2021-11-29,25717.31,Actual
2023-10-17,18052.48,Actual
2020-08-17,24074.86,Actual
2023-02-17,17103.72,Actual
2022-01-07,33223.0,Actual
2023-11-25,5549.65,Actual
2021-09-04,1941.21,Actual
2019-10-23,5961.75,Actual
2019-09-10,15033.44,Actual
2022-08-31,21552.93,Actual
2023-12-16,4878.15,Actual
2019-08-30,46801.69,Actual
2023-02-17,22971.7,Actual
2020-05-10,49342.22,Actual
2022-06-21,4357.85,Actual
2023-06-11,37866.05,Actual
2021-05-19,10613.65,Actual
2021-02-24,34132.43,Actual
2020-03-13,32935.9,Actual
2022-03-15,22501.5,Actual
2019-07-27,4064.52,Actual
2019-06-18,19218.16,Actual
2023-09-05,21489.08,Actual
2022-12-01,2183.3,Actual
2022-12-22,4252.58,Actual
2019-05-04,12502.21,Actual
2019-07-23,44441.84,Actual
2021-05-25,2951.07,Actual
2023-12-10,33732.85,Actual
2021-01-29,2190.27,Actual
