ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
01-01-2019,1313332.152,1069366.263,1589400.355,1313332.152,1313332.152,19802.51911,19802.51911,19802.51911,-9889.707126,-9889.707126,-9889.707126,29692.22623,29692.22623,29692.22623,0,0,0,1333134.671
02-01-2019,1313394.46,1089220.974,1582127.791,1313394.46,1313394.46,28408.13223,28408.13223,28408.13223,2216.315886,2216.315886,2216.315886,26191.81634,26191.81634,26191.81634,0,0,0,1341802.592
03-01-2019,1313456.768,1065450.491,1590612.628,1313456.768,1313456.768,20552.06299,20552.06299,20552.06299,-2083.262178,-2083.262178,-2083.262178,22635.32517,22635.32517,22635.32517,0,0,0,1334008.831
04-01-2019,1313519.075,1068491.027,1597433.728,1313519.075,1313519.075,18786.92801,18786.92801,18786.92801,-292.1125006,-292.1125006,-292.1125006,19079.04051,19079.04051,19079.04051,0,0,0,1332306.003
05-01-2019,1313581.383,1033654.814,1568200.419,1313581.383,1313581.383,3583.380612,3583.380612,3583.380612,-11988.13793,-11988.13793,-11988.13793,15571.51855,15571.51855,15571.51855,0,0,0,1317164.764
06-01-2019,1313643.691,1063067.363,1561747.162,1313643.691,1313643.691,10459.34822,10459.34822,10459.34822,-1693.699043,-1693.699043,-1693.699043,12153.04726,12153.04726,12153.04726,0,0,0,1324103.039
07-01-2019,1313705.999,1077344.269,1603436.721,1313705.999,1313705.999,32586.02715,32586.02715,32586.02715,23730.6029,23730.6029,23730.6029,8855.424256,8855.424256,8855.424256,0,0,0,1346292.026
08-01-2019,1313768.306,1062436.471,1571236.588,1313768.306,1313768.306,-4187.66602,-4187.66602,-4187.66602,-9889.707126,-9889.707126,-9889.707126,5702.041106,5702.041106,5702.041106,0,0,0,1309580.64
09-01-2019,1313830.614,1062748.119,1575784.239,1313830.614,1313830.614,4924.572841,4924.572841,4924.572841,2216.315886,2216.315886,2216.315886,2708.256955,2708.256955,2708.256955,0,0,0,1318755.187
10-01-2019,1313892.922,1031480.327,1590685.234,1313892.922,1313892.922,-2201.226718,-2201.226718,-2201.226718,-2083.262178,-2083.262178,-2083.262178,-117.9645396,-117.9645396,-117.9645396,0,0,0,1311691.695
11-01-2019,1313955.229,1065009.996,1572642.746,1313955.229,1313955.229,-3067.301009,-3067.301009,-3067.301009,-292.1125006,-292.1125006,-292.1125006,-2775.188508,-2775.188508,-2775.188508,0,0,0,1310887.928
12-01-2019,1314017.537,1022229.877,1567331.495,1314017.537,1314017.537,-17255.59034,-17255.59034,-17255.59034,-11988.13793,-11988.13793,-11988.13793,-5267.452407,-5267.452407,-5267.452407,0,0,0,1296761.947
13-01-2019,1314079.845,1048215.398,1563131.173,1314079.845,1314079.845,-9296.763865,-9296.763865,-9296.763865,-1693.699043,-1693.699043,-1693.699043,-7603.064821,-7603.064821,-7603.064821,0,0,0,1304783.081
14-01-2019,1314142.153,1072934.102,1596163.43,1314142.153,1314142.153,13937.29485,13937.29485,13937.29485,23730.6029,23730.6029,23730.6029,-9793.308051,-9793.308051,-9793.308051,0,0,0,1328079.447
15-01-2019,1314204.46,1041230.944,1537600.155,1314204.46,1314204.46,-21740.80203,-21740.80203,-21740.80203,-9889.707126,-9889.707126,-9889.707126,-11851.09491,-11851.09491,-11851.09491,0,0,0,1292463.658
16-01-2019,1314266.768,1014300.776,1579874.488,1314266.768,1314266.768,-11573.3145,-11573.3145,-11573.3145,2216.315886,2216.315886,2216.315886,-13789.63039,-13789.63039,-13789.63039,0,0,0,1302693.454
17-01-2019,1314329.076,1058225.544,1564055.293,1314329.076,1314329.076,-17704.38972,-17704.38972,-17704.38972,-2083.262178,-2083.262178,-2083.262178,-15621.12755,-15621.12755,-15621.12755,0,0,0,1296624.686
18-01-2019,1314391.383,1033449.993,1567962.002,1314391.383,1314391.383,-17647.73649,-17647.73649,-17647.73649,-292.1125006,-292.1125006,-292.1125006,-17355.62399,-17355.62399,-17355.62399,0,0,0,1296743.647
19-01-2019,1314453.691,1030846.048,1547698.699,1314453.691,1314453.691,-30988.07899,-30988.07899,-30988.07899,-11988.13793,-11988.13793,-11988.13793,-18999.94105,-18999.94105,-18999.94105,0,0,0,1283465.612
20-01-2019,1314515.999,1035331.588,1576006.087,1314515.999,1314515.999,-22250.52118,-22250.52118,-22250.52118,-1693.699043,-1693.699043,-1693.699043,-20556.82213,-20556.82213,-20556.82213,0,0,0,1292265.478
21-01-2019,1314578.307,1049395.14,1588112.461,1314578.307,1314578.307,1706.322932,1706.322932,1706.322932,23730.6029,23730.6029,23730.6029,-22024.27996,-22024.27996,-22024.27996,0,0,0,1316284.63
22-01-2019,1314640.614,1028397.288,1538795.097,1314640.614,1314640.614,-33284.88221,-33284.88221,-33284.88221,-9889.707126,-9889.707126,-9889.707126,-23395.17508,-23395.17508,-23395.17508,0,0,0,1281355.732
23-01-2019,1314702.922,1028181.094,1549062.519,1314702.922,1314702.922,-22440.72362,-22440.72362,-22440.72362,2216.315886,2216.315886,2216.315886,-24657.03951,-24657.03951,-24657.03951,0,0,0,1292262.198
24-01-2019,1314765.23,1029194.287,1536032.033,1314765.23,1314765.23,-27875.41348,-27875.41348,-27875.41348,-2083.262178,-2083.262178,-2083.262178,-25792.1513,-25792.1513,-25792.1513,0,0,0,1286889.816
25-01-2019,1314827.538,1021316.913,1535242.453,1314827.538,1314827.538,-27069.96944,-27069.96944,-27069.96944,-292.1125006,-292.1125006,-292.1125006,-26777.85694,-26777.85694,-26777.85694,0,0,0,1287757.568
26-01-2019,1314889.845,1007972.021,1534082.569,1314889.845,1314889.845,-39575.26813,-39575.26813,-39575.26813,-11988.13793,-11988.13793,-11988.13793,-27587.13019,-27587.13019,-27587.13019,0,0,0,1275314.577
27-01-2019,1314952.153,1000636.233,1552237.85,1314952.153,1314952.153,-29883.04728,-29883.04728,-29883.04728,-1693.699043,-1693.699043,-1693.699043,-28189.34823,-28189.34823,-28189.34823,0,0,0,1285069.106
28-01-2019,1315014.461,1029769.469,1607689.33,1315014.461,1315014.461,-4820.65549,-4820.65549,-4820.65549,23730.6029,23730.6029,23730.6029,-28551.25839,-28551.25839,-28551.25839,0,0,0,1310193.805
29-01-2019,1315076.768,1017958.674,1553631.588,1315076.768,1315076.768,-38527.80992,-38527.80992,-38527.80992,-9889.707126,-9889.707126,-9889.707126,-28638.10279,-28638.10279,-28638.10279,0,0,0,1276548.958
30-01-2019,1315139.076,1023383.443,1548231.411,1315139.076,1315139.076,-26198.54707,-26198.54707,-26198.54707,2216.315886,2216.315886,2216.315886,-28414.86295,-28414.86295,-28414.86295,0,0,0,1288940.529
31-01-2019,1315201.384,1028440.408,1552769.486,1315201.384,1315201.384,-29930.84429,-29930.84429,-29930.84429,-2083.262178,-2083.262178,-2083.262178,-27847.58211,-27847.58211,-27847.58211,0,0,0,1285270.539
01-02-2019,1315263.692,1026506.303,1556655.444,1315263.692,1315263.692,-27196.83354,-27196.83354,-27196.83354,-292.1125006,-292.1125006,-292.1125006,-26904.72104,-26904.72104,-26904.72104,0,0,0,1288066.858
02-02-2019,1315325.999,1011663.022,1549623.193,1315325.999,1315325.999,-37546.63936,-37546.63936,-37546.63936,-11988.13793,-11988.13793,-11988.13793,-25558.50142,-25558.50142,-25558.50142,0,0,0,1277779.36
